ID,Gravitational Flux,Dark Matter Density,Quantum Variance,Space-Time Curvature,Neutrino Activity,Hawking Radiation,Magnetar Field Strength,Cosmic Drift,Event Horizon Stability,Tachyon Flux,Wormhole Entropy,Dimensional Shift,Singularity Depth,Photon Rebound Index,Temporal Distortion,Interstellar Wind Velocity,Gamma Ray Intensity,Plasma Density,Quantum Foam Density,Exotic Matter Stability,Zero-Point Energy Field,Multiverse Leakage,Subspace Fluctuations,Entropy Gradient,Black Hole Spin Factor,Orbital Resonance,Quantum Superposition Strength,Vacuum Energy Density,Hyperdimensional Gravity,Chrono-Spatial Coordinates,Space Fabric Tension,Stellar Neutron Alignment,Astrophysical Stability Index,Void Instability Factor,Celestial Anomaly Frequency,Dark Energy Variability,Wormhole Stability
0,0.411567874,-13.76169908,0.962126562,0.018979746,4.670973745,-0.041121735,-0.30556018,0.08412655,-0.007814276,47.14138426,0.193529964,-0.371320865,12.05654472,-0.026865832,0.088549643,-1.098412245,0.126808642,,0.05205246,-9.020885169,0.044844294,0.049923326,-0.008474867,-0.073189306,-0.007029733,0.204843799,-0.102572817,0.100177305,-52.38006772,-0.033099628,-0.337677471,-0.003784208,-0.114528177,0.000538375,-0.257207813,0.557688707,Fail
1,0.372928145,-66.70285566,-3.110865412,0.071913882,19.83554597,-0.214718208,1.188694099,-0.147345091,0.0278807,-170.7999297,-0.619975109,0.27129435,4.153266377,0.473298052,-0.093844751,2.33905717,0.067861454,,0.194041812,4.074274829,-0.834895532,-0.102910615,0.233343506,0.110495232,0.065866492,0.04633349,-479.1766608,0.072543499,-2969.343771,0.274626735,-0.572483707,-0.132527293,-0.341237411,0.061968408,0.477470331,1.332721871,Fail
2,0.475778262,-184.7949163,-1.783947271,-0.082710534,28.92329374,-0.239985349,-0.122818489,-0.082816321,-0.027940616,-216.9117728,0.070729903,-0.498095055,31.12858315,-0.02668384,0.009125559,1.146356336,0.090977828,-27.31177231,0.142527353,10.63405061,0.121802888,-0.028130908,-0.040620273,-0.014899148,0.008490259,0.304817957,-174.0251089,0.026328691,4527.147343,0.078815437,-0.330429376,0.0753188,-0.196706243,0.012656172,-0.259001356,0.642207252,Fail
3,-0.569378709,-260.7490263,-1.582170902,0.062023465,2.577613556,-0.032809787,0.051297533,-0.052116967,-0.06346279,-106.4777025,-0.212109807,-0.236400254,2.239994165,-0.05181982,0.052840443,-0.695996055,-0.07262754,40.68833861,-0.04099635,32.23671412,-0.112743702,-0.02083298,0.014156898,-0.014776931,0.009175317,0.083678597,-63.5191687,-0.010058181,-725.3144412,0.073123688,-0.059510749,0.009470159,-0.189062412,-0.009477886,-0.174416198,0.146284646,Fail
4,-0.06848406,572.5660931,2.819684747,-0.159080122,-23.03564473,0.077039629,-0.340596606,0.101271108,0.113452192,184.6207729,0.393578956,0.277824555,-1.406537067,0.092553996,-0.071139515,-7.676207858,-0.010153973,143.7311406,0.356940196,0.259877134,0.344566364,0.00122691,0.04482478,-0.28808389,0.055704828,-0.36162251,-202.2579385,-0.040840541,2807.582269,-0.14284497,0.204459152,0.055341136,0.019932408,-0.009518712,-0.152639371,-0.474813345,Fail
5,0.630530038,-133.5251167,2.828009454,-0.120204151,-6.223620109,-0.1550543,-0.099649944,-0.04761743,-0.168129853,52.01429626,-0.135663264,-0.205591398,-14.64050481,-0.131103464,0.046946867,0.934829261,-0.166215636,90.91830569,-0.342904265,-13.63559331,-0.210746888,0.032791865,0.01721817,-0.107363881,-0.000807906,-9.13E-05,1.871717838,-0.001805648,1387.335846,0.018574915,-0.18371146,0.035028172,-0.143640137,0.00385996,-0.216184367,-0.091027725,Fail
6,0.477112462,892.1426267,1.066159362,0.094405897,-2.67641479,-0.011114679,-0.45264907,-0.026393263,-0.151857438,26.20564739,-0.310950243,-0.358986263,-5.438875101,-0.027427113,0.227189588,3.039131927,-0.09946504,,0.039013982,36.75708395,-0.233923585,-0.00881827,-0.021977564,-0.004651052,0.007944811,0.260578482,146.7372248,-0.048814796,1806.106734,0.201619783,-0.381198113,0.009395147,-0.006424058,0.021508283,-0.023481601,0.328202625,Fail
7,0.264919978,-87.36696292,10.23174044,-0.017673296,-3.498349378,-0.177487823,-0.020387388,-0.083670727,-0.124142628,-64.63539022,0.241468908,-0.18252115,35.47646351,-0.134823622,0.079140663,6.558353402,-0.128023484,-142.7098652,-0.450245287,-5.465422554,-0.121880895,-0.044280412,-0.003856535,-0.163090982,0.003450174,-0.04035335,174.3568953,-0.036752753,196.8685877,0.056813532,-0.118497004,-0.02374855,-0.03469827,-0.033363358,-0.184595838,0.011633268,Fail
8,0.049366096,366.3928407,-1.629648639,0.018074681,28.36159064,-0.012445351,-0.233589674,0.040657137,-0.077513145,33.57887386,0.226409099,0.115238936,4.568293059,0.017605066,-0.019649586,-6.151473977,0.146514754,,0.176360745,-16.38409017,0.237453681,-0.011956268,0.065778667,0.052430498,0.063214776,-0.239656601,172.8420284,0.154612451,-4185.506884,-0.009963244,0.075534849,0.135036984,-0.177848796,0.005256519,-0.176781898,-0.122250503,Fail
9,0.658652893,425.3323167,1.187042241,-0.002765567,6.841912508,0.065709827,-0.233125501,-0.026411003,-0.101716487,-63.09640665,-0.329014156,-0.25867575,-4.451199555,-0.054696868,0.086259158,3.757154729,-0.027210205,-30.54819416,0.200093342,-8.431212934,-0.447363824,-0.009381686,0.033285464,0.005387448,-0.012166052,0.06334403,98.16897418,-0.09109111,4924.346491,-0.035320423,-0.385681826,0.023909128,-0.025766702,-0.015864365,-0.025330445,0.477746313,Fail
